US Equity,Foreign EQ,Emerging EQ
-0.0785,-0.04270585,0.027203087
0.0111,-0.075282883,0.033518964
0.0183,-0.110371024,-0.141695348
-0.0336,-0.014570133,0.065239489
0.0842,0.107606756,0.075338597
-0.0109,-0.014868143,0.028254638
-0.019,0.007544081,0.08137421
-0.1015,-0.103437615,-0.134179797
-0.0612,-0.145073207,-0.133694311
-0.0192,0.149339917,-0.025366262
0.0635,-0.064403238,-0.057885189
0.0246,0.010589295,0.036262093
0.0469,0.027425642,0.075645909
0.0719,0.102692866,0.143140936
0.0265,-0.064190918,0.036697809
-0.0028,0.004810582,0.005232018
0.0365,0.006029472,0.073760805
-0.0494,-0.07741935,-0.039921509
0.0424,0.044503351,0.046944952
0.0232,-0.024663399,0.016470492
-0.0159,0.052058957,-0.042931932
0.0129,0.010226453,0.036606422
-0.0419,-0.050319081,-0.018759131
0.1084,0.048156586,0.108557325
-0.0059,-0.024466627,0.112366156
0.0109,-0.038317935,0.041626953
-0.0266,-0.069138914,0.030435492
0.0107,0.001806879,-0.010146428
0.003,0.064442962,-0.006387059
-0.0234,-0.050300138,-0.102399247
0.0377,-0.028373209,0.007773506
-0.0238,0.060461622,-0.049226521
0.0119,-0.022029502,0.000832317
0.0102,-0.054450907,0.051188291
0.0413,0.007417167,-0.013072444
0.0153,0.002675034,0.026595361
0.0093,-0.002123806,0.002535629
0.0012,0.02830258,0.014569115
0.023,0.084957224,0.030569947
-0.0305,0.09277736,0.020597238
0.0289,0.019164077,0.025661967
0.0031,-0.017871437,0.027152629
-0.0034,0.032834934,0.024013797
0.0371,0.051709943,0.081938306
-0.0012,-0.024889993,0.033975184
0.0141,0.028837135,0.087522806
-0.0189,-0.0897005,0.041752376
0.0165,0.070134273,0.162995926
0.0287,0.082260796,0.015693819
-0.0255,-0.004664345,-0.019889587
-0.0478,-0.04555838,-0.09318922
0.0068,0.039951593,-0.022702351
0.0058,-0.008627771,0.031124538
-0.0303,0.011255795,-0.030664044
0.0282,0.007037397,0.059378306
0.0401,0.020195346,0.120412973
-0.0231,-0.034976402,0.00766464
0.0134,0.029733452,-0.021838352
-0.0404,-0.051540465,-0.055694315
0.0086,0.002095808,-0.084716358
0.018,-0.042377925,-0.110592049
0.0363,-0.006613776,-0.02964707
0.0219,0.058051496,0.001753491
0.0211,0.033475383,0.040461436
0.029,-0.017062789,0.047799376
0.0272,-0.021971216,-0.001742159
0.0372,0.05802828,0.017946835
0.0055,-0.042603556,-0.028255151
0.0335,0.01549015,-0.009046066
-0.0152,-0.03132363,-0.042980068
0.0396,0.0238851,-0.02203327
0.0103,0.035645813,0.039452024
0.0226,4.3014E-05,0.066781764
0.0133,-0.000269873,-0.019799544
0.0073,0.017589429,0.003888748
0.0206,0.024719538,0.0353826
0.0236,-0.022363116,-0.008665241
-0.0114,0.001873012,0.002244417
-0.0597,-0.033477372,-0.07284361
0.0277,-0.001650833,0.021496727
0.0501,0.022418494,0.004262875
0.0086,-0.014184818,-0.030869908
0.0625,0.035938012,0.012655714
-0.017,-0.017223487,-7.7011E-05
0.0498,-0.039266232,0.063709679
-0.0049,0.012697409,0.038925355
-0.0502,-0.00043236,-0.030567851
0.0404,0.001247898,-0.002533465
0.0674,0.060421742,0.023720369
0.041,0.051674945,0.049817031
0.0733,0.012083337,0.010627924
-0.0415,-0.078578857,-0.131349295
0.0535,0.051844583,0.023308054
-0.038,-0.080845768,-0.168287461
0.0298,-0.013863566,-0.040387638
0.0132,0.004152455,0.01929801
0.0015,0.041665996,-0.082730266
0.0704,0.060498173,0.100475695
0.0476,0.027117605,0.039495965
0.0073,0.003842823,-0.015193366
-0.0307,-0.00862668,-0.141040745
0.0318,0.003692822,-0.108996121
-0.0246,0.006360369,0.027706356
-0.1608,-0.127968649,-0.293439757
0.0615,-0.034996926,0.058834853
0.0713,0.101322014,0.102101807
0.061,0.048379324,0.080068359
